segment,segment_start,segment_end,asset_target,model,n_test,direction_accuracy,balanced_direction_accuracy,MAE,RMSE,interval_90pct_coverage,interval_90pct_avg_width,interval_90pct_median_width,interval_90pct_avg_half_width,interval_width_to_mae
2016_2019,2016-01-01,2019-12-31,SPY_ret,fusion_case,33,0.45454545454545453,0.4605263157894737,0.006004415658587862,0.00870217254190173,0.9393939393939394,0.05158844316212593,0.04997324998529451,0.025794221581062964,8.591750820638334
2016_2019,2016-01-01,2019-12-31,UUP_ret,baseline,33,0.48484848484848486,0.4673076923076923,0.004482328845199075,0.005663010966591169,0.9696969696969697,0.030084434732621707,0.026586327791926788,0.015042217366310853,6.711786611739675
2016_2019,2016-01-01,2019-12-31,UUP_ret,shock_main,33,0.48484848484848486,0.45384615384615384,0.004638012212819977,0.006034630371738831,0.9696969696969697,0.030485596459208085,0.028327266357457578,0.015242798229604042,6.572987534388662
2016_2019,2016-01-01,2019-12-31,UUP_ret,shock_interactions,33,0.6666666666666666,0.6576923076923077,0.004739687519316154,0.005898731500733685,0.9696969696969697,0.027183606068095487,0.023217261714308653,0.013591803034047743,5.735316085145116
2016_2019,2016-01-01,2019-12-31,UUP_ret,rag_memory,33,0.5454545454545454,0.5038461538461538,0.004392657744387317,0.005507634929882229,0.9393939393939394,0.029625009209677616,0.02639665685792631,0.014812504604838808,6.7442106655203755
2016_2019,2016-01-01,2019-12-31,UUP_ret,shock_rag,33,0.5757575757575758,0.5557692307692308,0.004194624747357084,0.005839729246085754,0.9696969696969697,0.030259954381967852,0.025849805833779105,0.015129977190983926,7.213983658737007
2016_2019,2016-01-01,2019-12-31,UUP_ret,case_model,33,0.42424242424242425,0.3634615384615385,0.0055344357703096675,0.006554178899296094,0.9696969696969697,0.030088229414888815,0.030813213910336236,0.015044114707444408,5.4365486679422235
2016_2019,2016-01-01,2019-12-31,UUP_ret,fusion,33,0.7272727272727273,0.7076923076923077,0.004091777329316135,0.005436251373415359,1.0,0.028294781433055607,0.024942085097263228,0.014147390716527803,6.915034508435619
2016_2019,2016-01-01,2019-12-31,UUP_ret,fusion_case,33,0.6666666666666666,0.6442307692307692,0.0042793352540331,0.005601210413572743,0.9696969696969697,0.028203231097590518,0.02391911346388836,0.014101615548795259,6.5905635860172715
2020_2021,2020-01-01,2021-12-31,GLD_ret,baseline,18,0.6111111111111112,0.48461538461538467,0.01072865988431342,0.013896612501945196,0.8888888888888888,0.050944120979275406,0.05113221679769324,0.025472060489637703,4.74841420350754
2020_2021,2020-01-01,2021-12-31,GLD_ret,shock_main,18,0.7222222222222222,0.5615384615384615,0.009432364581953779,0.012526833030645477,1.0,0.050407657133095786,0.05061377361080135,0.025203828566547893,5.344116705320837
2020_2021,2020-01-01,2021-12-31,GLD_ret,shock_interactions,18,0.6111111111111112,0.48461538461538467,0.01147165844104161,0.014055015332589562,0.9444444444444444,0.05756803656571135,0.05863950778761043,0.028784018282855674,5.01828369991848
2020_2021,2020-01-01,2021-12-31,GLD_ret,rag_memory,18,0.6666666666666666,0.5230769230769231,0.012191423141195397,0.015403063904683562,1.0,0.05828690666647672,0.05908504397364858,0.02914345333323836,4.780976428381236
2020_2021,2020-01-01,2021-12-31,GLD_ret,shock_rag,18,0.6111111111111112,0.4230769230769231,0.011980135079125537,0.014737905420327097,0.9444444444444444,0.05111082655014573,0.04704034382363338,0.025555413275072866,4.266298018559274
2020_2021,2020-01-01,2021-12-31,GLD_ret,case_model,18,0.6666666666666666,0.5846153846153846,0.011408902731889704,0.015209610187511824,0.9444444444444444,0.05419900678083609,0.053545062491269876,0.027099503390418046,4.750588908900172
2020_2021,2020-01-01,2021-12-31,GLD_ret,fusion,18,0.6666666666666666,0.46153846153846156,0.01197379708615139,0.014728178997989203,0.9444444444444444,0.05407109209187441,0.054101236155802715,0.027035546045937206,4.515784901216654
2020_2021,2020-01-01,2021-12-31,GLD_ret,fusion_case,18,0.6111111111111112,0.4230769230769231,0.012205675743645481,0.01463506682695052,0.8888888888888888,0.05057551451082732,0.04930213904152811,0.02528775725541366,4.143606267531558
2020_2021,2020-01-01,2021-12-31,QQQ_ret,baseline,18,0.3888888888888889,0.3701298701298701,0.020436522331763417,0.034626466508943465,0.7777777777777778,0.053684181251529774,0.05527788020285169,0.026842090625764887,2.6268745914803353
2020_2021,2020-01-01,2021-12-31,QQQ_ret,shock_main,18,0.5,0.461038961038961,0.022295328144771736,0.03677388830667809,0.7222222222222222,0.05060765034690726,0.05118649191958073,0.02530382517345363,2.2698769005907082
